.Vial.Label.	Species.Code	Predator.Species.Name	Seamap.Cruise..	Station..	Capture.Date	Content	Weight..g.	Plate.Name	Cleaned?	Extraction.Well.Location	384.PCR.Plate	384.PCR.Well.Location	Ext.Cnt.	Dilution.Plate	Dilution.Well.Location	Primer.Plate.Format	Primer.Plate	Primer.Well.Location	#	Notes	Band	Primer.Dimer	Smear	Non.Specific.Product	Primer.Plate.Format.2	Primer.Plate.2	Primer.Plate	Primer.Well.Location2	Band	Primer.Dimer	Smear	Non.Specific.Product	Well.Clogging	Big.Pool	Gel.Cnt.	Gel.Notes	Final.Nucleic.Acid.Conc...ng.ul.	Final.Volume	Target.ng	Reads.80	Reads.90	Reads.80.l	Reads.90.l	Concatenated.Scoring	Reads
816-B	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Crust.	0.0076	R1G1S1		C2	NA	NA	1	R1G1S1D	C2	96	1	C2	11		0	2	0	0	96	#4 (96)	4	C2	1	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-2-0-0	NA
816-C	Upar.3	Upeneus parvus	6320141406	4	11/3/2014	Crab	0.0203	R1G1S1		D2	NA	NA	1	R1G1S1D	D2	96	1	D2	12		0	0	0	0	96	#4 (96)	4	D2	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
817-A	Upar.3	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0181	R1G1S1		E2	NA	NA	1	R1G1S1D	E2	96	1	E2	13		0	0	0	0	96	#4 (96)	4	E2	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
817-B	Upar.3	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0107	R1G1S1		F2	NA	NA	1	R1G1S1D	F2	96	1	F2	14		2	1	0	1	96	#4 (96)	4	F2	2	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	690
817-C	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0145	R1G1S1		G2	NA	NA	1	R1G1S1D	G2	96	1	G2	15		2	1	0	1	96	#4 (96)	4	G2	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	347
817-D	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0125	R1G1S1		H2	NA	NA	1	R1G1S1D	H2	96	1	H2	16		2	1	0	1	96	#4 (96)	4	H2	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	173
817-E	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0134	R1G1S1		A3	NA	NA	1	R1G1S1D	A3	96	1	A3	17		2	1	0	2	96	#4 (96)	4	A3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-2	233
817-E2	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0106	R1G1S1		B3	NA	NA	1	R1G1S1D	B3	96	1	B3	18		0	1	0	0	96	#4 (96)	4	B3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
817-F	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0056	R1G1S1		C3	NA	NA	1	R1G1S1D	C3	96	1	C3	19		0	0	0	0	96	#4 (96)	4	C3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
817-G	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0232	R1G1S1		D3	NA	NA	1	R1G1S1D	D3	96	1	D3	20		2	0	0	1	96	#4 (96)	4	D3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-0-0-1	NA
817-H	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.005	R1G1S1		E3	NA	NA	1	R1G1S1D	E3	96	1	E3	21		0	1	0	0	96	#4 (96)	4	E3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
817-I	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0235	R1G1S1		F3	NA	NA	1	R1G1S1D	F3	96	1	F3	22		0	0	0	0	96	#4 (96)	4	F3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
818-A	Upar.4	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0196	R1G1S1		G3	NA	NA	1	R1G1S1D	G3	96	1	G3	23		0	1	0	0	96	#4 (96)	4	G3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
818-B	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0156	R1G1S1		H3	NA	NA	1	R1G1S1D	H3	96	1	H3	24		2	1	0	1	96	#4 (96)	4	H3	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	14
818-C	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0258	R1G1S1		A4	NA	NA	1	R1G1S1D	A4	96	1	A4	25		0	1	0	0	96	#4 (96)	4	A4	2	1	0	1	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
818-D	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0172	R1G1S1		B4	NA	NA	1	R1G1S1D	B4	96	1	B4	26		0	1	0	0	96	#4 (96)	4	B4	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
818-E	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Crab	0.018	R1G1S1		C4	NA	NA	1	R1G1S1D	C4	96	1	C4	27		0	0	0	0	96	#4 (96)	4	C4	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
818-F	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0265	R1G1S1		D4	NA	NA	1	R1G1S1D	D4	96	1	D4	28		0	0	0	0	96	#4 (96)	4	D4	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
818-G	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.028	R1G1S1		E4	NA	NA	1	R1G1S1D	E4	96	1	E4	29		0	0	0	0	96	#4 (96)	4	E4	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
818-H	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0239	R1G1S1		F4	NA	NA	1	R1G1S1D	F4	96	1	F4	30		2	1	0	1	96	#4 (96)	4	F4	2	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	125
818-I	Upar.5	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0179	R1G1S1		G4	NA	NA	1	R1G1S1D	G4	96	1	G4	31		1	1	0	1	96	#4 (96)	4	G4	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-1	1696
819-A	Upar.1	Upeneus parvus	420140310	13	11/13/2014	Misc.	0.0073	R1G1S1		H4	NA	NA	1	R1G1S1D	H4	96	1	H4	32		0	2	0	0	96	#4 (96)	4	H4	1	2	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-2-0-0	NA
824-A	Upar.6	Upeneus parvus	420140310	13	11/13/2014	Fish	0.0135	R1G1S1		A5	NA	NA	1	R1G1S1D	A5	96	1	A5	33		2	2	0	1	96	#4 (96)	4	A5	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-2-0-1	50
825-A	Upar.7	Upeneus parvus	420140310	13	11/13/2014	Fish	0.0137	R1G1S1		B5	NA	NA	1	R1G1S1D	B5	96	1	B5	34		0	1	0	0	96	#4 (96)	4	B5	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
826-A	Upar.8	Upeneus parvus	420140310	13	11/13/2014	Misc.	0.002	R1G1S1		C5	NA	NA	1	R1G1S1D	C5	96	1	C5	35		1	2	0	1	96	#4 (96)	4	C5	1	2	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-2-0-1	117
827-A	Upar.9	Upeneus parvus	420140310	13	11/13/2014	Misc.	0.0205	R1G1S1		D5	NA	NA	1	R1G1S1D	D5	96	1	D5	36		1	2	0	1	96	#4 (96)	4	D5	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-2-0-1	278
828-A	Upar.10	Upeneus parvus	420140310	13	11/13/2014	Misc.	0.0154	R1G1S1		E5	NA	NA	1	R1G1S1D	E5	96	1	E5	37		1	1	0	0	96	#4 (96)	4	E5	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	701
830-A	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.017	R1G1S1		F5	NA	NA	1	R1G1S1D	F5	96	1	F5	38		1	1	0	1	96	#4 (96)	4	F5	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-1	725
830-B	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0188	R1G1S1		G5	NA	NA	1	R1G1S1D	G5	96	1	G5	39		2	0	0	1	96	#4 (96)	4	G5	2	0	0	0	0	0	1		0	NA	NA	NA	NA	NA	NA	2-0-0-1	NA
830-C	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0185	R1G1S1		H5	NA	NA	1	R1G1S1D	H5	96	1	H5	40		2	1	0	1	96	#4 (96)	4	H5	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	105
830-D	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0243	R1G1S1		A6	NA	NA	1	R1G1S1D	A6	96	1	A6	41		2	1	0	0	96	#4 (96)	4	A6	2	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-0	246
830-E	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0146	R1G1S1		B6	NA	NA	1	R1G1S1D	B6	96	1	B6	42		0	1	0	0	96	#4 (96)	4	B6	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
830-F	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0217	R1G1S1		C6	NA	NA	1	R1G1S1D	C6	96	1	C6	43		2	0	0	0	96	#4 (96)	4	C6	2	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-0-0-0	NA
830-G	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0156	R1G1S1		D6	NA	NA	1	R1G1S1D	D6	96	1	D6	44		2	0	0	1	96	#4 (96)	4	D6	1	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-0-0-1	185
830-H	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0169	R1G1S1		E6	NA	NA	1	R1G1S1D	E6	96	1	E6	45		1	1	0	0	96	#4 (96)	4	E6	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	165
830-I	Upar.0	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0085	R1G1S1		F6	NA	NA	1	R1G1S1D	F6	96	1	F6	46		2	1	0	1	96	#4 (96)	4	F6	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	358
831-A	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0274	R1G1S1		G6	NA	NA	1	R1G1S1D	G6	96	1	G6	47		2	1	0	0	96	#4 (96)	4	G6	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-0	124
831-B	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0167	R1G1S1		H6	NA	NA	1	R1G1S1D	H6	96	1	H6	48		2	1	0	0	96	#4 (96)	4	H6	0	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-0	81
831-C	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0185	R1G1S1		A7	NA	NA	1	R1G1S1D	A7	96	1	A7	49		2	0	0	2	96	#4 (96)	4	A7	1	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-0-0-2	NA
831-D	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0218	R1G1S1		B7	NA	NA	1	R1G1S1D	B7	96	1	B7	50		1	1	0	0	96	#4 (96)	4	B7	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	280
831-E	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0088	R1G1S1		C7	NA	NA	1	R1G1S1D	C7	96	1	C7	51		1	1	0	0	96	#4 (96)	4	C7	1	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	319
831-F	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0101	R1G1S1		D7	NA	NA	1	R1G1S1D	D7	96	1	D7	52		2	1	0	2	96	#4 (96)	4	D7	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-2	320
831-G	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0181	R1G1S1		E7	NA	NA	1	R1G1S1D	E7	96	1	E7	53		1	0	0	1	96	#4 (96)	4	E7	0	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-0-0-1	1682
831-H	Upar.1	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0166	R1G1S1		F7	NA	NA	1	R1G1S1D	F7	96	1	F7	54		0	2	0	0	96	#4 (96)	4	F7	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-2-0-0	NA
832-A	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Shrimp	0.0231	R1G1S1		G7	NA	NA	1	R1G1S1D	G7	96	1	G7	55		0	2	0	0	96	#4 (96)	4	G7	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-2-0-0	NA
832-B	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0101	R1G1S1		H7	NA	NA	1	R1G1S1D	H7	96	1	H7	56		1	2	0	0	96	#4 (96)	4	H7	2	1	1	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-2-0-0	142
832-C	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0105	R1G1S1		A8	NA	NA	1	R1G1S1D	A8	96	1	A8	57		0	1	0	0	96	#4 (96)	4	A8	0	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
832-D	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0086	R1G1S1		B8	NA	NA	1	R1G1S1D	B8	96	1	B8	58		0	1	0	0	96	#4 (96)	4	B8	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
832-E	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0225	R1G1S1		C8	NA	NA	1	R1G1S1D	C8	96	1	C8	59		0	1	0	0	96	#4 (96)	4	C8	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
832-F	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0141	R1G1S1		D8	NA	NA	1	R1G1S1D	D8	96	1	D8	60		2	1	0	1	96	#4 (96)	4	D8	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	186
832-G	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0116	R1G1S1		E8	NA	NA	1	R1G1S1D	E8	96	1	E8	61		0	2	0	0	96	#4 (96)	4	E8	2	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-2-0-0	NA
832-H	Upar.2	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0226	R1G1S1		F8	NA	NA	1	R1G1S1D	F8	96	1	F8	62		1	1	0	0	96	#4 (96)	4	F8	1	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	72
834-A	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0158	R1G1S1		G8	NA	NA	1	R1G1S1D	G8	96	1	G8	63		2	1	0	1	96	#4 (96)	4	G8	2	1	1	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	140
834-B	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0174	R1G1S1		H8	NA	NA	1	R1G1S1D	H8	96	1	H8	64		1	1	0	1	96	#4 (96)	4	H8	2	1	1	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-1	184
834-C	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crust.	0.0127	R1G1S1		A9	NA	NA	1	R1G1S1D	A9	96	1	A9	65		1	1	0	0	96	#4 (96)	4	A9	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	80
834-D	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0086	R1G1S1		B9	NA	NA	1	R1G1S1D	B9	96	1	B9	66		0	1	0	0	96	#4 (96)	4	B9	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
834-E	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0164	R1G1S1		C9	NA	NA	1	R1G1S1D	C9	96	1	C9	67		2	0	0	1	96	#4 (96)	4	C9	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-0-0-1	NA
834-F	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.029	R1G1S1		D9	NA	NA	1	R1G1S1D	D9	96	1	D9	68		2	1	0	2	96	#4 (96)	4	D9	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-2	1
834-G	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0114	R1G1S1		E9	NA	NA	1	R1G1S1D	E9	96	1	E9	69		0	1	0	0	96	#4 (96)	4	E9	1	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
834-H	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0106	R1G1S1		F9	NA	NA	1	R1G1S1D	F9	96	1	F9	70		2	1	0	1	96	#4 (96)	4	F9	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	84
834-I	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.016	R1G1S1		G9	NA	NA	1	R1G1S1D	G9	96	1	G9	71		2	1	0	1	96	#4 (96)	4	G9	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	146
834-J	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0039	R1G1S1		H9	NA	NA	1	R1G1S1D	H9	96	1	H9	72		0	2	0	0	96	#4 (96)	4	H9	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-2-0-0	NA
834-K	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0022	R1G1S1		A10	NA	NA	1	R1G1S1D	A10	96	1	A10	73		2	0	0	2	96	#4 (96)	4	A10	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-0-0-2	553
834-L	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0126	R1G1S1		B10	NA	NA	1	R1G1S1D	B10	96	1	B10	74		0	1	0	0	96	#4 (96)	4	B10	0	2	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
834-M	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Shrimp	0.0069	R1G1S1		C10	NA	NA	1	R1G1S1D	C10	96	1	C10	75		0	1	0	0	96	#4 (96)	4	C10	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
834-N	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0063	R1G1S1		D10	NA	NA	1	R1G1S1D	D10	96	1	D10	76		2	0	0	2	96	#4 (96)	4	D10	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-0-0-2	NA
834-O	Upar.4	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0133	R1G1S1		E10	NA	NA	1	R1G1S1D	E10	96	1	E10	77		1	1	0	0	96	#4 (96)	4	E10	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	1668
835-A	Upar.5	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0195	R1G1S1		F10	NA	NA	1	R1G1S1D	F10	96	1	F10	78		1	2	0	0	96	#4 (96)	4	F10	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-2-0-0	159
835-B	Upar.5	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0282	R1G1S1		G10	NA	NA	1	R1G1S1D	G10	96	1	G10	79		2	1	0	2	96	#4 (96)	4	G10	2	1	1	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-2	NA
835-C	Upar.5	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0236	R1G1S1		H10	NA	NA	1	R1G1S1D	H10	96	1	H10	80		2	1	0	1	96	#4 (96)	4	H10	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	245
835-D	Upar.5	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0207	R1G1S1		A11	NA	NA	1	R1G1S1D	A11	96	1	A11	81		2	1	0	1	96	#4 (96)	4	A11	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	361
835-E	Upar.5	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0138	R1G1S1		B11	NA	NA	1	R1G1S1D	B11	96	1	B11	82		0	0	0	0	96	#4 (96)	4	B11	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
835-F	Upar.5	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.008	R1G1S1		C11	NA	NA	1	R1G1S1D	C11	96	1	C11	85		0	1	0	0	96	#4 (96)	4	C11	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
835-I	Upar.5	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0036	R1G1S1		D11	NA	NA	1	R1G1S1D	D11	96	1	D11	87		1	1	0	0	96	#4 (96)	4	D11	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	394
837-A	Upar.7	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0169	R1G1S1		E11	NA	NA	1	R1G1S1D	E11	96	1	E11	89		1	1	0	1	96	#4 (96)	4	E11	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-1	254
837-B	Upar.7	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.014	R1G1S1		F11	NA	NA	1	R1G1S1D	F11	96	1	F11	91		2	1	0	1	96	#4 (96)	4	F11	1	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	373
837-C	Upar.7	Upeneus parvus	6320141406	23	11/16/2014	Crab	0.0173	R1G1S1		G11	NA	NA	1	R1G1S1D	G11	96	1	G11	93		2	1	0	1	96	#4 (96)	4	G11	1	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	591
837-D	Upar.7	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0129	R1G1S1		H11	NA	NA	1	R1G1S1D	H11	96	1	H11	95		2	1	0	1	96	#4 (96)	4	H11	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	1436
837-E	Upar.7	Upeneus parvus	6320141406	23	11/16/2014	Misc.	0.0082	R1G1S1		A12	NA	NA	1	R1G1S1D	A12	96	1	A12	83		2	1	0	1	96	#4 (96)	4	A12	2	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	310
